,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
37,2026/01/25,PHI,30,Adem Bona,PT11M35.00S,2,0,1,0,1,1,4,0.5,0.5,0.0,0,0,1,2,0,0,0.0
38,2026/01/25,PHI,12,Trendon Watford,PT09M43.00S,2,0,1,0,0,1,1,0.5,0.5,0.0,0,0,1,2,0,0,1.0
39,2026/01/25,CLE,32,Dean Wade,PT25M55.00S,10,1,3,3,2,0,1,1.0,1.0,1.0,2,2,2,2,0,0,10.0
40,2026/01/25,CLE,4,Evan Mobley,PT34M32.50S,13,3,7,0,1,2,1,0.28571428571428603,0.375,0.166666666666667,1,6,3,8,4,4,14.0
41,2026/01/25,CLE,31,Jarrett Allen,PT24M50.00S,8,1,6,3,2,2,4,0.6,0.75,0.0,0,1,3,4,2,2,7.0
42,2026/01/25,CLE,20,Jaylon Tyson,PT32M18.50S,17,4,5,0,0,2,2,0.555555555555556,0.5,0.6,3,5,2,4,4,4,5.0
43,2026/01/25,CLE,45,Donovan Mitchell,PT37M37.00S,36,9,5,2,0,3,4,0.5,0.590909090909091,0.25,2,8,13,22,4,5,15.0
44,2026/01/25,CLE,9,Craig Porter Jr.,PT15M15.50S,4,1,0,0,1,1,0,0.666666666666666,0.666666666666666,0.0,0,0,2,3,0,1,0.0
45,2026/01/25,CLE,35,Nae'Qwan Tomlin,PT24M58.50S,9,4,1,0,0,1,5,0.6,1.0,0.5,2,4,1,1,1,2,-8.0
46,2026/01/25,CLE,2,Lonzo Ball,PT24M33.00S,6,2,8,3,0,1,4,0.5,0.0,0.5,2,4,0,0,0,0,5.0
47,2026/01/25,CLE,3,Thomas Bryant,PT10M14.00S,4,1,3,0,0,2,3,0.333333333333333,0.0,0.5,1,2,0,1,1,2,13.0
48,2026/01/25,CLE,24,Tyrese Proctor,PT09M46.00S,12,1,0,0,0,0,1,1.0,1.0,1.0,2,2,2,2,2,2,9.0
49,2026/01/25,ORL,3,Desmond Bane,PT38M26.00S,20,3,4,2,0,3,4,0.5,0.625,0.333333333333333,2,6,5,8,4,4,-8.0
50,2026/01/25,ORL,5,Paolo Banchero,PT38M27.00S,27,2,5,0,0,2,2,0.5,0.5,0.5,3,6,4,8,10,12,-6.0
51,2026/01/25,ORL,34,Wendell Carter Jr.,PT29M49.00S,11,3,5,1,2,3,1,0.333333333333333,0.5,0.2,1,5,2,4,4,4,-2.0
52,2026/01/25,ORL,0,Anthony Black,PT39M55.50S,16,5,5,2,1,2,3,0.5,0.6,0.428571428571429,3,7,3,5,1,2,-6.0
53,2026/01/25,ORL,4,Jalen Suggs,PT24M24.50S,9,6,1,0,0,1,3,0.5,1.0,0.25,1,4,2,2,2,2,-17.0
54,2026/01/25,ORL,11,Jase Richardson,PT15M03.00S,4,2,1,0,0,1,0,0.25,1.0,0.0,0,3,1,1,2,2,-4.0
55,2026/01/25,ORL,21,Moritz Wagner,PT12M53.50S,13,0,6,1,0,1,3,0.36363636363636404,0.5,0.2,1,5,3,6,4,4,-14.0
56,2026/01/25,ORL,23,Tristan da Silva,PT19M52.00S,0,0,1,1,0,0,1,0.0,0.0,0.0,0,2,0,1,0,0,4.0
57,2026/01/25,ORL,93,Noah Penda,PT15M52.00S,3,0,3,1,0,3,2,0.25,0.5,0.0,0,2,1,2,1,2,-19.0
58,2026/01/25,ORL,35,Goga Bitadze,PT05M17.50S,2,0,6,0,0,0,1,0.25,0.25,0.0,0,0,1,4,0,0,2.0
59,2026/01/25,BOS,7,Jaylen Brown,PT37M06.00S,33,5,8,1,1,2,1,0.5,0.6,0.25,2,8,12,20,3,4,-13.0
60,2026/01/25,BOS,30,Sam Hauser,PT23M39.80S,8,3,4,2,0,0,0,0.428571428571429,1.0,0.333333333333333,2,6,1,1,0,0,-12.0
61,2026/01/25,BOS,77,Amari Williams,PT10M08.20S,2,0,2,0,1,0,0,1.0,1.0,0.0,0,0,1,1,0,0,-3.0
