PLAYER,PLAYER_ID,TEAM,EXECUTION_DATE,GP,A_MIN,A_FGA,FG_%,A_3,3_%,A_2,2_%,A_FTA,FT_%,A_PTS,A_REB,A_OREB,A_DREB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_EFF,AST_TOV,STL_TOV,MIN,FGM,FGA,FG3M,FG3A,FG2M,FG2A,FTM,FTA,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,EFF
Grayson Allen,1628960,PHX,2026/01/20,26.0,29.423076923076923,13.153846153846153,0.4152046783625731,9.0,0.37606837606837606,4.153846153846154,0.5,2.3461538461538463,0.8360655737704918,16.26923076923077,2.8461538461538463,0.6153846153846154,2.230769230769231,3.6923076923076925,1.5,0.34615384615384615,1.6923076923076923,2.423076923076923,14.884615384615385,2.18,0.89,765.0,142.0,342.0,88.0,234.0,54.0,108.0,51.0,61.0,423.0,74.0,16.0,58.0,96.0,39.0,9.0,44.0,63.0,387.0
Guerschon Yabusele,1627824,NYK,2026/01/20,36.0,9.36111111111111,2.75,0.3939393939393939,1.75,0.31746031746031744,1.0,0.5277777777777778,0.3333333333333333,0.6666666666666666,2.9444444444444446,2.1666666666666665,0.5833333333333334,1.5833333333333333,0.4722222222222222,0.08333333333333333,0.1111111111111111,0.3888888888888889,0.9444444444444444,3.611111111111111,1.21,0.21,337.0,39.0,99.0,20.0,63.0,19.0,36.0,8.0,12.0,106.0,78.0,21.0,57.0,17.0,3.0,4.0,14.0,34.0,130.0
Gui Santos,1630611,GSW,2026/01/20,33.0,11.272727272727273,2.787878787878788,0.4673913043478261,1.7575757575757576,0.3620689655172414,1.0303030303030303,0.6470588235294118,0.7272727272727273,0.6666666666666666,3.727272727272727,2.3636363636363638,0.7878787878787878,1.5757575757575757,1.0,0.45454545454545453,0.18181818181818182,0.7575757575757576,1.2424242424242424,5.242424242424242,1.32,0.6,372.0,43.0,92.0,21.0,58.0,22.0,34.0,16.0,24.0,123.0,78.0,26.0,52.0,33.0,15.0,6.0,25.0,41.0,173.0
Harrison Barnes,203084,SAS,2026/01/20,43.0,28.488372093023255,8.674418604651162,0.43699731903485256,5.186046511627907,0.3632286995515695,3.488372093023256,0.5466666666666666,1.7906976744186047,0.8701298701298701,11.023255813953488,3.046511627906977,0.8372093023255814,2.2093023255813953,2.186046511627907,0.7441860465116279,0.13953488372093023,0.9534883720930233,1.3488372093023255,11.069767441860465,2.29,0.78,1225.0,163.0,373.0,81.0,223.0,82.0,150.0,67.0,77.0,474.0,131.0,36.0,95.0,94.0,32.0,6.0,41.0,58.0,476.0
Harrison Ingram,1631127,SAS,2026/01/20,3.0,3.6666666666666665,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.5,0.0,,1.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.3333333333333335,0.0,0.0,11.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
Herbert Jones,1630529,NOP,2026/01/20,23.0,28.304347826086957,8.826086956521738,0.39408866995073893,4.173913043478261,0.3333333333333333,4.6521739130434785,0.4485981308411215,1.391304347826087,0.8125,9.478260869565217,3.652173913043478,1.0869565217391304,2.5652173913043477,2.260869565217391,1.6521739130434783,0.30434782608695654,1.3043478260869565,3.260869565217391,10.434782608695652,1.73,1.27,651.0,80.0,203.0,32.0,96.0,48.0,107.0,26.0,32.0,218.0,84.0,25.0,59.0,52.0,38.0,7.0,30.0,75.0,240.0
Hugo González,1642864,BOS,2026/01/20,37.0,14.972972972972974,3.2432432432432434,0.49166666666666664,1.3783783783783783,0.35294117647058826,1.864864864864865,0.5942028985507246,0.4594594594594595,0.5294117647058824,3.918918918918919,3.3513513513513513,0.8918918918918919,2.4594594594594597,0.5945945945945946,0.5945945945945946,0.2702702702702703,0.6216216216216216,1.945945945945946,6.243243243243243,0.96,0.96,554.0,59.0,120.0,18.0,51.0,41.0,69.0,9.0,17.0,145.0,124.0,33.0,91.0,22.0,22.0,10.0,23.0,72.0,231.0
Hunter Dickinson,1630621,NOP,2026/01/20,1.0,5.0,2.0,0.5,0.0,,2.0,0.5,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
Hunter Sallis,1642282,PHI,2026/01/20,7.0,3.7142857142857144,0.7142857142857143,0.6,0.0,,0.7142857142857143,0.6,0.2857142857142857,0.5,1.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.8,0.0,26.0,3.0,5.0,0.0,0.0,3.0,5.0,1.0,2.0,7.0,1.0,0.0,1.0,4.0,0.0,1.0,5.0,2.0,5.0
Hunter Tyson,1641816,DEN,2026/01/20,17.0,7.764705882352941,2.8823529411764706,0.2653061224489796,1.7647058823529411,0.2,1.1176470588235294,0.3684210526315789,0.6470588235294118,0.8181818181818182,2.411764705882353,1.588235294117647,0.23529411764705882,1.3529411764705883,0.7058823529411765,0.11764705882352941,0.058823529411764705,0.23529411764705882,0.6470588235294118,2.411764705882353,3.0,0.5,132.0,13.0,49.0,6.0,30.0,7.0,19.0,9.0,11.0,41.0,27.0,4.0,23.0,12.0,2.0,1.0,4.0,11.0,41.0
Immanuel Quickley,1630193,TOR,2026/01/20,41.0,32.41463414634146,13.414634146341463,0.42363636363636364,7.121951219512195,0.3458904109589041,6.2926829268292686,0.5116279069767442,3.1463414634146343,0.7906976744186046,16.317073170731707,4.170731707317073,0.5609756097560976,3.6097560975609757,6.121951219512195,1.146341463414634,0.12195121951219512,1.6585365853658536,2.0,17.829268292682926,3.69,0.69,1329.0,233.0,550.0,101.0,292.0,132.0,258.0,102.0,129.0,669.0,171.0,23.0,148.0,251.0,47.0,5.0,68.0,82.0,731.0
Isaac Jones,1642403,DET,2026/01/20,4.0,4.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.25,0.5,0.5,0.0,0.25,0.0,0.0,0.0,1.0,1.25,0.0,0.0,18.0,2.0,4.0,0.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
Isaac Jones,1642403,SAC,2026/01/20,3.0,5.666666666666667,0.6666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,17.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0
Isaac Okoro,1630171,CHI,2026/01/20,34.0,25.264705882352942,6.764705882352941,0.47391304347826085,3.1176470588235294,0.330188679245283,3.6470588235294117,0.5967741935483871,1.5294117647058822,0.7692307692307693,8.617647058823529,2.823529411764706,1.2058823529411764,1.6176470588235294,1.5,0.6176470588235294,0.5294117647058824,0.6176470588235294,2.7058823529411766,9.558823529411764,2.43,1.0,859.0,109.0,230.0,35.0,106.0,74.0,124.0,40.0,52.0,293.0,96.0,41.0,55.0,51.0,21.0,18.0,21.0,92.0,325.0
Isaiah Collier,1642268,UTA,2026/01/20,35.0,23.17142857142857,6.3428571428571425,0.5045045045045045,1.4285714285714286,0.32,4.914285714285715,0.5581395348837209,2.6857142857142855,0.6702127659574468,8.657142857142857,2.257142857142857,0.4,1.8571428571428572,6.542857142857143,0.7428571428571429,0.3142857142857143,2.257142857142857,2.257142857142857,12.228571428571428,2.9,0.33,811.0,112.0,222.0,16.0,50.0,96.0,172.0,63.0,94.0,303.0,79.0,14.0,65.0,229.0,26.0,11.0,79.0,79.0,428.0
Isaiah Crawford,1642384,HOU,2026/01/20,2.0,2.5,0.5,0.0,0.5,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Isaiah Hartenstein,1628392,OKC,2026/01/20,24.0,26.875,7.5,0.6444444444444445,0.16666666666666666,0.0,7.333333333333333,0.6590909090909091,2.375,0.6491228070175439,11.208333333333334,10.375,3.375,7.0,2.9583333333333335,1.125,0.75,2.0833333333333335,2.875,20.833333333333332,1.42,0.54,645.0,116.0,180.0,0.0,4.0,116.0,176.0,37.0,57.0,269.0,249.0,81.0,168.0,71.0,27.0,18.0,50.0,69.0,500.0
Isaiah Jackson,1630543,IND,2026/01/20,31.0,17.870967741935484,4.838709677419355,0.5866666666666667,0.0,,4.838709677419355,0.5866666666666667,2.032258064516129,0.7301587301587301,7.161290322580645,5.709677419354839,2.4516129032258065,3.2580645161290325,0.7741935483870968,0.6774193548387096,0.7741935483870968,1.1290322580645162,2.935483870967742,11.419354838709678,0.69,0.6,554.0,88.0,150.0,0.0,0.0,88.0,150.0,46.0,63.0,222.0,177.0,76.0,101.0,24.0,21.0,24.0,35.0,91.0,354.0
Isaiah Joe,1630198,OKC,2026/01/20,35.0,19.4,6.628571428571429,0.4482758620689655,5.4,0.41798941798941797,1.2285714285714286,0.5813953488372093,1.7428571428571429,0.8524590163934426,9.685714285714285,2.5714285714285716,0.4857142857142857,2.085714285714286,1.3142857142857143,0.5142857142857142,0.17142857142857143,0.6,1.6857142857142857,9.742857142857142,2.19,0.86,679.0,104.0,232.0,79.0,189.0,25.0,43.0,52.0,61.0,339.0,90.0,17.0,73.0,46.0,18.0,6.0,21.0,59.0,341.0
Isaiah Livers,1630587,PHX,2026/01/20,23.0,10.173913043478262,1.8695652173913044,0.37209302325581395,1.3478260869565217,0.3225806451612903,0.5217391304347826,0.5,0.2608695652173913,0.8333333333333334,2.0434782608695654,1.8695652173913044,0.5652173913043478,1.3043478260869565,0.6521739130434783,0.43478260869565216,0.2608695652173913,0.43478260869565216,1.0,3.608695652173913,1.5,1.0,234.0,16.0,43.0,10.0,31.0,6.0,12.0,5.0,6.0,47.0,43.0,13.0,30.0,15.0,10.0,6.0,10.0,23.0,83.0
Isaiah Stewart,1630191,DET,2026/01/20,37.0,23.486486486486488,7.297297297297297,0.5296296296296297,2.4054054054054053,0.3595505617977528,4.891891891891892,0.6132596685082873,2.054054054054054,0.7368421052631579,10.108108108108109,5.621621621621622,1.837837837837838,3.7837837837837838,1.162162162162162,0.2702702702702703,2.0,1.2702702702702702,3.027027027027027,13.91891891891892,0.92,0.21,869.0,143.0,270.0,32.0,89.0,111.0,181.0,56.0,76.0,374.0,208.0,68.0,140.0,43.0,10.0,74.0,47.0,112.0,515.0
Ivica Zubac,1627826,LAC,2026/01/20,36.0,31.47222222222222,10.416666666666666,0.6106666666666667,0.0,,10.416666666666666,0.6106666666666667,2.9166666666666665,0.7238095238095238,14.833333333333334,10.833333333333334,3.4444444444444446,7.388888888888889,2.388888888888889,0.3888888888888889,0.9444444444444444,2.0277777777777777,2.4722222222222223,22.5,1.18,0.19,1133.0,229.0,375.0,0.0,0.0,229.0,375.0,76.0,105.0,534.0,390.0,124.0,266.0,86.0,14.0,34.0,73.0,89.0,810.0
